Seller,Shipper,Condition,Price,Delivery,Fastest Delivery,Seller Page,Product Name,Product Category 1,Product Category 2,Timestamp,Merchant ID,ASIN,Seller Profile,Positive 30 days,Positive 90 days,Positive 12 months,Lifetime,Total ratings,Buy Box Placement
Amazon.com,Amazon.com,New,$119.00,FREE delivery,,None,Apple AirPods with Charging Case (Wired),Electronics,Accessories & Supplies,2021-07-05 12:51:23,Amazon.com,B07PXGQC1Q,,,,,,,True
Adorama,Adorama,New,$145.00,FREE delivery: July 9 - 14,Fastest delivery: July 8 - 13,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A17MC6HOH9AVE6&isAmazonFulfilled=0&asin=B07PXGQC1Q&ref_=olp_merch_name_7,Apple AirPods with Charging Case (Wired),Electronics,Accessories & Supplies,2021-07-05 12:51:23,A17MC6HOH9AVE6,B07PXGQC1Q,adorama inc,94%,93%,91%,95%,"567,553",False
Expercom  Apple Premier Partner,Expercom  Apple Premier Partner,New,$157.32,FREE delivery: July 9 - 14,,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=ATQQBVXK188KS&isAmazonFulfilled=0&asin=B07PXGQC1Q&ref_=olp_merch_name_8,Apple AirPods with Charging Case (Wired),Electronics,Accessories & Supplies,2021-07-05 12:51:23,ATQQBVXK188KS,B07PXGQC1Q,"Expercom of Utah, Inc 1545 N Main STE 120 Logan UT 84321 US",89%,88%,88%,90%,"1,415",False
DataVision Computer Video,DataVision Computer Video,New,$158.29,FREE delivery: July 12 - 19,"Fastest delivery: Friday, July 9 Order within 22 hrs and 39 mins Details",https://www.amazon.com/gp/aag/main?ie=UTF8&seller=AN8LN2YPKS7DF&isAmazonFulfilled=0&asin=B07PXGQC1Q&ref_=olp_merch_name_9,Apple AirPods with Charging Case (Wired),Electronics,Accessories & Supplies,2021-07-05 12:51:23,AN8LN2YPKS7DF,B07PXGQC1Q,"DataVision Computer Video, Inc. 13 West 38th Street New York NY 10018 US",90%,93%,91%,94%,"144,010",False
Simply Mac  Apple Premier Partner,Simply Mac  Apple Premier Partner,New,$169.99,"FREE delivery: Monday, July 12 Details",Fastest delivery: July 7 - 9,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A21RKBKWVUNRNH&isAmazonFulfilled=0&asin=B07PXGQC1Q&ref_=olp_merch_name_10,Apple AirPods with Charging Case (Wired),Electronics,Accessories & Supplies,2021-07-05 12:51:23,A21RKBKWVUNRNH,B07PXGQC1Q,"Simply Mac, Inc 155 N 400 W Suite 300 Salt Lake City UT 84103 US",50%,80%,74%,72%,47,False
