Seller,Shipper,Condition,Price,Delivery,Fastest Delivery,Seller Page,Product Name,Product Category 1,Product Category 2,Timestamp,Merchant ID,ASIN,Seller Profile,Positive 30 days,Positive 90 days,Positive 12 months,Lifetime,Total ratings,Buy Box Placement
AilunUS,Amazon.com,New,$6.98,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Wednesday, June 30 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Sunday, June 27 Order within 3 hrs and 27 mins Details",https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A11HC9SRN13WHM&isAmazonFulfilled=1&asin=B07H2V5YLH&ref_=olp_merch_name_0,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",Electronics,Accessories & Supplies,2021-06-24 20:32:52,A11HC9SRN13WHM,B07H2V5YLH,"Xue Ke No.11,Ju He South Road ChangHong Village GUANG ZHOU GUANG DONG 510000 CN",100%,100%,100%,100%,"157,945",True
Ailun Authorized,Amazon.com,New,$6.99,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Wednesday, June 30 on orders over $25.00 shipped by Amazon. Details",Fastest delivery: Tomorrow Order within 27 mins Details,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A21LLPAGX6ECJI&isAmazonFulfilled=1&asin=B07H2V5YLH&ref_=olp_merch_name_1,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",Electronics,Accessories & Supplies,2021-06-24 20:32:52,A21LLPAGX6ECJI,B07H2V5YLH,"Zheng Zhou Hai Zhi Tong EMC Co., LTD Xiang Yun Rd,Er Qi District Zheng Zhou Henan 450000 CN",100%,100%,100%,99%,"4,576",False
Ailun Authorized,Amazon.com,New,$6.99,FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping July 11 - 13 on orders over $25.00 shipped by Amazon. Details,Fastest delivery: July 6 - 9,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A21LLPAGX6ECJI&isAmazonFulfilled=1&asin=B07H2V5YLH&ref_=olp_merch_name_2,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",Electronics,Accessories & Supplies,2021-06-24 20:32:52,A21LLPAGX6ECJI,B07H2V5YLH,"Zheng Zhou Hai Zhi Tong EMC Co., LTD Xiang Yun Rd,Er Qi District Zheng Zhou Henan 450000 CN",100%,100%,100%,99%,"4,576",False
Ailun Authorized,Amazon.com,New,$6.99,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Wednesday, June 30 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Sunday, June 27 Order within 3 hrs and 27 mins Details",https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A21LLPAGX6ECJI&isAmazonFulfilled=1&asin=B07H2V5YLH&ref_=olp_merch_name_3,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",Electronics,Accessories & Supplies,2021-06-24 20:32:52,A21LLPAGX6ECJI,B07H2V5YLH,"Zheng Zhou Hai Zhi Tong EMC Co., LTD Xiang Yun Rd,Er Qi District Zheng Zhou Henan 450000 CN",100%,100%,100%,99%,"4,576",False
AilunUS,Amazon.com,New,$7.99,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Wednesday, June 30 on orders over $25.00 shipped by Amazon. Details",Fastest delivery: Tomorrow Order within 27 mins Details,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A11HC9SRN13WHM&isAmazonFulfilled=1&asin=B07H2V5YLH&ref_=olp_merch_name_4,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",Electronics,Accessories & Supplies,2021-06-24 20:32:52,A11HC9SRN13WHM,B07H2V5YLH,"Xue Ke No.11,Ju He South Road ChangHong Village GUANG ZHOU GUANG DONG 510000 CN",100%,100%,100%,100%,"157,945",False
