Seller,Shipper,Condition,Price,Delivery,Fastest Delivery,Seller Page,Product Name,Product Category 1,Product Category 2,Timestamp,Merchant ID,ASIN,Seller Profile,Positive 30 days,Positive 90 days,Positive 12 months,Lifetime,Total ratings,Buy Box Placement
AilunUS,Amazon.com,New,$5.99,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Sunday, July 11 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Wednesday, July 7 Order within 11 hrs and 4 mins Details",https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A11HC9SRN13WHM&isAmazonFulfilled=1&asin=B08DGNGDFR&ref_=olp_merch_name_0,Ailun Glass Screen Protector Compatible for iPhone 12/iPhone 12 Pro 2020 6.1 Inch 3 Pack Case Friendly Tempered Glass,Electronics,Accessories & Supplies,2021-07-05 12:56:09,A11HC9SRN13WHM,B08DGNGDFR,"Xue Ke No.11,Ju He South Road ChangHong Village GUANG ZHOU GUANG DONG 510000 CN",100%,100%,100%,100%,"158,611",True
Ailun Authorized,Amazon.com,New,$5.99,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Sunday, July 11 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Wednesday, July 7 Order within 11 hrs and 4 mins Details",https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A21LLPAGX6ECJI&isAmazonFulfilled=1&asin=B08DGNGDFR&ref_=olp_merch_name_1,Ailun Glass Screen Protector Compatible for iPhone 12/iPhone 12 Pro 2020 6.1 Inch 3 Pack Case Friendly Tempered Glass,Electronics,Accessories & Supplies,2021-07-05 12:56:09,A21LLPAGX6ECJI,B08DGNGDFR,"Zheng Zhou Hai Zhi Tong EMC Co., LTD Xiang Yun Rd,Er Qi District Zheng Zhou Henan 450000 CN",100%,100%,100%,99%,"4,766",False
AilunUS,Amazon.com,New,$6.88,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Sunday, July 11 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Wednesday, July 7 Order within 6 hrs and 49 mins Details",https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A11HC9SRN13WHM&isAmazonFulfilled=1&asin=B08DGNGDFR&ref_=olp_merch_name_2,Ailun Glass Screen Protector Compatible for iPhone 12/iPhone 12 Pro 2020 6.1 Inch 3 Pack Case Friendly Tempered Glass,Electronics,Accessories & Supplies,2021-07-05 12:56:09,A11HC9SRN13WHM,B08DGNGDFR,"Xue Ke No.11,Ju He South Road ChangHong Village GUANG ZHOU GUANG DONG 510000 CN",100%,100%,100%,100%,"158,611",False
