Seller,Shipper,Condition,Price,Delivery,Fastest Delivery,Seller Page,Product Name,Product Category 1,Product Category 2,Timestamp,Merchant ID,ASIN,Seller Profile,Positive 30 days,Positive 90 days,Positive 12 months,Lifetime,Total ratings,Buy Box Placement
Masaji,Amazon.com,New,$7.98,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Wednesday, June 30 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Sunday, June 27 Order within 3 hrs and 20 mins Details",https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A2ILQ0D13ADW1H&isAmazonFulfilled=1&asin=B07HRN9J19&ref_=olp_merch_name_0,"Mkeke Compatible with iPhone XR Screen Protector, iPhone 11 Screen Protector, Tempered Glass Film for Apple iPhone XR and iPhone 11, 3-Pack Clear",Electronics,Accessories & Supplies,2021-06-24 20:39:35,A2ILQ0D13ADW1H,B07HRN9J19,"Changde Maiquan Electronic Commerce Co., Ltd. Hangongdu Town, Dingcheng District Group 5, Dingjiakou Village Changde City Hunan Province 415000 CN",95%,95%,95%,95%,"3,021",True
Mkeke,Amazon.com,New,$9.98,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Wednesday, June 30 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Sunday, June 27 Order within 3 hrs and 20 mins Details",https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A2PIEPXJBOJ7WG&isAmazonFulfilled=1&asin=B07HRN9J19&ref_=olp_merch_name_1,"Mkeke Compatible with iPhone XR Screen Protector, iPhone 11 Screen Protector, Tempered Glass Film for Apple iPhone XR and iPhone 11, 3-Pack Clear",Electronics,Accessories & Supplies,2021-06-24 20:39:35,A2PIEPXJBOJ7WG,B07HRN9J19,Shenzhen Make Technology Company Limited Futian District shen zhen guang dong 518000 CN,99%,98%,96%,98%,"21,641",False
Mkeke AuthorizeeCase you,Amazon.com,New,$10.98,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Wednesday, June 30 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Sunday, June 27 Order within 3 hrs and 20 mins Details",https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A1YIMSG7ZR424W&isAmazonFulfilled=1&asin=B07HRN9J19&ref_=olp_merch_name_2,"Mkeke Compatible with iPhone XR Screen Protector, iPhone 11 Screen Protector, Tempered Glass Film for Apple iPhone XR and iPhone 11, 3-Pack Clear",Electronics,Accessories & Supplies,2021-06-24 20:39:35,A1YIMSG7ZR424W,B07HRN9J19,"Shenzhen Fei Ge Te Technology Company Limited Shekou along the mountain,Nanshan District No.26, Shenzhen Guangdong 518100 CN",94%,94%,94%,95%,"7,822",False
