Seller,Shipper,Condition,Price,Delivery,Fastest Delivery,Seller Page,Product Name,Product Category 1,Product Category 2,Timestamp,Merchant ID,ASIN,Seller Profile,Positive 30 days,Positive 90 days,Positive 12 months,Lifetime,Total ratings,Buy Box Placement
Amazon.com,Amazon.com,New,$7.99,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Wednesday, June 30 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Sunday, June 27 Order within 3 hrs and 26 mins Details",None,Apple Lightning to 3.5 mm Headphone Jack Adapter,Electronics,Accessories & Supplies,2021-06-24 20:34:14,Amazon.com,B01LXJFMGF,,,,,,,True
Adorama,Adorama,New,$13.95,FREE delivery: June 30 - July 2,Fastest delivery: June 29 - July 1,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A17MC6HOH9AVE6&isAmazonFulfilled=0&asin=B01LXJFMGF&ref_=olp_merch_name_1,Apple Lightning to 3.5 mm Headphone Jack Adapter,Electronics,Accessories & Supplies,2021-06-24 20:34:14,A17MC6HOH9AVE6,B01LXJFMGF,adorama inc,93%,93%,91%,95%,"567,362",False
DataVision Computer Video,DataVision Computer Video,New,$19.65,FREE delivery: June 30 - July 2,Fastest delivery: June 29 - July 1,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=AN8LN2YPKS7DF&isAmazonFulfilled=0&asin=B01LXJFMGF&ref_=olp_merch_name_2,Apple Lightning to 3.5 mm Headphone Jack Adapter,Electronics,Accessories & Supplies,2021-06-24 20:34:14,AN8LN2YPKS7DF,B01LXJFMGF,"DataVision Computer Video, Inc. 13 West 38th Street New York NY 10018 US",81%,92%,91%,94%,"143,986",False
