Seller,Shipper,Condition,Price,Delivery,Fastest Delivery,Seller Page,Product Name,Product Category 1,Product Category 2,Timestamp,Merchant ID,ASIN,Seller Profile,Positive 30 days,Positive 90 days,Positive 12 months,Lifetime,Total ratings,Buy Box Placement
Amazon.com,Amazon.com,New,$17.10,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Wednesday, June 30 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Sunday, June 27 Order within 3 hrs and 24 mins Details",None,Apple EarPods with Lightning Connector - White,Electronics,Accessories & Supplies,2021-06-24 20:36:40,Amazon.com,B01M0GB8CC,,,,,,,True
Adorama,Adorama,New,$23.22,FREE delivery: June 30 - July 2,Fastest delivery: June 29 - July 1,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A17MC6HOH9AVE6&isAmazonFulfilled=0&asin=B01M0GB8CC&ref_=olp_merch_name_5,Apple EarPods with Lightning Connector - White,Electronics,Accessories & Supplies,2021-06-24 20:36:40,A17MC6HOH9AVE6,B01M0GB8CC,adorama inc,93%,93%,91%,95%,"567,362",False
Simply Mac  Apple Premier Partner,Simply Mac  Apple Premier Partner,New,$25.99,FREE delivery: July 1 - 9,Fastest delivery: June 28 - 30,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A21RKBKWVUNRNH&isAmazonFulfilled=0&asin=B01M0GB8CC&ref_=olp_merch_name_6,Apple EarPods with Lightning Connector - White,Electronics,Accessories & Supplies,2021-06-24 20:36:40,A21RKBKWVUNRNH,B01M0GB8CC,"Simply Mac, Inc 155 N 400 W Suite 300 Salt Lake City UT 84103 US",0%,80%,74%,72%,46,False
