Seller,Shipper,Condition,Price,Delivery,Fastest Delivery,Seller Page,Product Name,Product Category 1,Product Category 2,Timestamp,Merchant ID,ASIN,Seller Profile,Positive 30 days,Positive 90 days,Positive 12 months,Lifetime,Total ratings,Buy Box Placement
AilunUS,Amazon.com,New,$7.88,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Sunday, July 11 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Wednesday, July 7 Order within 11 hrs and 10 mins Details",https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A11HC9SRN13WHM&isAmazonFulfilled=1&asin=B07H2V5YLH&ref_=olp_merch_name_0,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",Electronics,Accessories & Supplies,2021-07-05 12:49:28,A11HC9SRN13WHM,B07H2V5YLH,"Xue Ke No.11,Ju He South Road ChangHong Village GUANG ZHOU GUANG DONG 510000 CN",100%,100%,100%,100%,"158,611",True
Amazon.com,Amazon.com,New,$7.01,FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping July 25 - 27 on orders over $25.00 shipped by Amazon. Details,Fastest delivery: July 19 - 23,None,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",Electronics,Accessories & Supplies,2021-07-05 12:49:28,Amazon.com,B07H2V5YLH,,,,,,,False
Ailun Authorized,Amazon.com,New,$7.89,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Sunday, July 11 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Wednesday, July 7 Order within 11 hrs and 10 mins Details",https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A21LLPAGX6ECJI&isAmazonFulfilled=1&asin=B07H2V5YLH&ref_=olp_merch_name_2,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",Electronics,Accessories & Supplies,2021-07-05 12:49:28,A21LLPAGX6ECJI,B07H2V5YLH,"Zheng Zhou Hai Zhi Tong EMC Co., LTD Xiang Yun Rd,Er Qi District Zheng Zhou Henan 450000 CN",100%,100%,100%,99%,"4,766",False
Ailun Authorized,Amazon.com,New,$7.89,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Sunday, July 11 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Wednesday, July 7 Order within 11 hrs and 10 mins Details",https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A21LLPAGX6ECJI&isAmazonFulfilled=1&asin=B07H2V5YLH&ref_=olp_merch_name_3,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",Electronics,Accessories & Supplies,2021-07-05 12:49:28,A21LLPAGX6ECJI,B07H2V5YLH,"Zheng Zhou Hai Zhi Tong EMC Co., LTD Xiang Yun Rd,Er Qi District Zheng Zhou Henan 450000 CN",100%,100%,100%,99%,"4,766",False
AilunUS,Amazon.com,New,$7.99,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Sunday, July 11 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Wednesday, July 7 Order within 11 hrs and 10 mins Details",https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A11HC9SRN13WHM&isAmazonFulfilled=1&asin=B07H2V5YLH&ref_=olp_merch_name_4,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",Electronics,Accessories & Supplies,2021-07-05 12:49:28,A11HC9SRN13WHM,B07H2V5YLH,"Xue Ke No.11,Ju He South Road ChangHong Village GUANG ZHOU GUANG DONG 510000 CN",100%,100%,100%,100%,"158,611",False
