Seller,Shipper,Condition,Price,Delivery,Fastest Delivery,Seller Page,Product Name,Product Category 1,Product Category 2,Timestamp,Merchant ID,ASIN,Seller Profile,Positive 30 days,Positive 90 days,Positive 12 months,Lifetime,Total ratings,Buy Box Placement
Amazon.com,Amazon.com,New,$19.00,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Sunday, July 11 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Wednesday, July 7 Order within 11 hrs and 6 mins Details",None,Apple EarPods with Lightning Connector - White,Electronics,Accessories & Supplies,2021-07-05 12:53:49,Amazon.com,B01M0GB8CC,,,,,,,True
Adorama,Adorama,New,$23.04,FREE delivery: July 9 - 14,Fastest delivery: July 8 - 13,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A17MC6HOH9AVE6&isAmazonFulfilled=0&asin=B01M0GB8CC&ref_=olp_merch_name_3,Apple EarPods with Lightning Connector - White,Electronics,Accessories & Supplies,2021-07-05 12:53:49,A17MC6HOH9AVE6,B01M0GB8CC,adorama inc,94%,93%,91%,95%,"567,553",False
Simply Mac  Apple Premier Partner,Simply Mac  Apple Premier Partner,New,$25.99,FREE delivery: July 12 - 19,Fastest delivery: July 7 - 9,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A21RKBKWVUNRNH&isAmazonFulfilled=0&asin=B01M0GB8CC&ref_=olp_merch_name_4,Apple EarPods with Lightning Connector - White,Electronics,Accessories & Supplies,2021-07-05 12:53:49,A21RKBKWVUNRNH,B01M0GB8CC,"Simply Mac, Inc 155 N 400 W Suite 300 Salt Lake City UT 84103 US",50%,80%,74%,72%,47,False
