Seller,Shipper,Condition,Price,Delivery,Fastest Delivery,Seller Page,Product Name,Product Category 1,Product Category 2,Timestamp,Merchant ID,ASIN,Seller Profile,Positive 30 days,Positive 90 days,Positive 12 months,Lifetime,Total ratings,Buy Box Placement
Amazon.com,Amazon.com,New,$16.47,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Wednesday, June 30 on orders over $25.00 shipped by Amazon. Details",Fastest delivery: Tomorrow Order within 25 mins Details,None,Apple 20W USB-C Power Adapter,Electronics,Accessories & Supplies,2021-06-24 20:34:56,Amazon.com,B08L5M9BTJ,,,,,,,True
Adorama,Adorama,New,$23.00,FREE delivery: June 30 - July 2,Fastest delivery: June 29 - July 1,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A17MC6HOH9AVE6&isAmazonFulfilled=0&asin=B08L5M9BTJ&ref_=olp_merch_name_2,Apple 20W USB-C Power Adapter,Electronics,Accessories & Supplies,2021-06-24 20:34:56,A17MC6HOH9AVE6,B08L5M9BTJ,adorama inc,93%,93%,91%,95%,"567,362",False
Simply Mac  Apple Premier Partner,Simply Mac  Apple Premier Partner,New,$25.99,FREE delivery: July 1 - 9,Fastest delivery: June 28 - 30,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A21RKBKWVUNRNH&isAmazonFulfilled=0&asin=B08L5M9BTJ&ref_=olp_merch_name_3,Apple 20W USB-C Power Adapter,Electronics,Accessories & Supplies,2021-06-24 20:34:56,A21RKBKWVUNRNH,B08L5M9BTJ,"Simply Mac, Inc 155 N 400 W Suite 300 Salt Lake City UT 84103 US",0%,80%,74%,72%,46,False
